Comments,HateSpeech
এটা তোর বোন হবে হালার ঘরের হালা,1
আমার অনেক দেখার ইচ্ছা ছিল ওই জায়গাটি কিন্তু যেতে পারি নাই আপনি দেখাচ্ছেন খুব ভালো লাগলো ধন্যবাদ ভাই,0
"সমাজ আজ কোথায় চলে গেলো, আস্তাগফিরোল্লা",0
মাশা আল্লাহ ছোট বোন টারে অনেক সুন্দর লাগতেছে,0
কাউয়া কাদের ,1
"সুদন ভাইকে আগে ভালো লাগতো এখন কারো পোষা কুকুর হয়ে গেলো,",1
আফার কাছে চলে যান এই লুকে।,0
একে সবাই মিলে বয়কট করুন হাসিনার পা চাটা গোলাম,1
ফালতু নিউজ ছাড়া আর কোন নিউজ পাননা,1
"তোমারে রিপেয়ারিং করার জন্য টাকা দিবে, আর তুমি সুস্থ হয়ে এসে আবার রেপিং শুরু করো, নষ্টামি শুরু করবা পাবলিক এত বোকা না।",1
চোরের পোলা চোর,1
এসব বালের নিউজ বার বার পোস্ট করার কি দরকার ভোদাই,1
এই গান যত শুনি ততই মুগ্ধ হই। আবারো প্রেমে পরে গেলাম গান টার এবং আপনার ভয়েস এর। ভালোবাসা,0
সুন্দর ফানি ভিডিও,0
দুইটাই নষ্ট দুইটাই লোভী। নাটক বন্ধ কর বন্ধ করে ভালো হ,1
বাটপার এগ্রো ফার্ম ,1
"ভাগ্গিশ জীবনে এমন ৪-৫ জন বন্ধু আছে নাহলে জীবন তুচ্ছ। বন্ধু আমার যখন পা ভাংছিল মনে তোর, তোরা সবাই মিলে কি করছিলি সেই দিন গুলো এখনো মনে পরে খুব মিস করি তোদের ",0
কুলাঙ্গার এর ছেলে এর চাইতে আর ভালো কি হতে পারে এ আরেক কুলাঙ্গার,1
"জায়েদ পরে তনিরে ডাকবো তনি ও যাইবো,",0
একটা ডাইনির মতোন ,1
এসব কুত্তার লীগ কোথায় আসে,1
মায়ের হাসিটা অসাধারণ,0
তুমি কত জন এর বাড়া নিয়েছো রমনী,0
ভাই সেই দুধ,0
ওতো গাঁজা খোর ওতো কথাই ঠিক মতোন বলতে পারেনা,0
ভীষণ ভালো লাগলো দোয়া রইলো ভাইজান ,0
ছি! এই অসভ্য গুলার বিচার হওয়া দরকার। ,1
পাপন দাদা আজকে শুকনা খাইসে ,0
ভাইরে এতো আলেম গিরি আর করিস না তদের উপর আল্লাহ লায়ানত ,0
তোর ঘরে চাউল আসেনি খানকির পোলা ভালো হয়ে যা ,1
সাকিব এবং সালমান দুইজন বেয়াদব। বয়কট দুইজন সাকিব এবং সালমান।,1
গেলে পেটে বাচ্চা দিয়ে দিত শাকিব লুচ্চা,1
কি দিয়ে গালি দিবো ঠিক বুঝতে পারছি না।,0
নষ্টা মেয়ে বলে এমন করে,1
তুই মর শালি বেটী,1
লাইকা নাকি নাইকা,0
বুরা বাইনচোদ,1
"মানুষ যখন অল্প কষ্ট পায় তখন সে কাঁদে! কিন্তু যখন অনেক বেশি কষ্ট পায়, তখন সে আর কাঁদে না! পাল্টে যায়!",0
অতিত ছাড়া জীবন সুন্দর করা যায় না,0
যার বুঝার সে তো বুঝেইনা,0
"শালার পোলা গো কাহিনী সারাজীবন থাকব, কি চলতে বাংলাদেশ ",0
ভালোবাসা দিয়ে সবার পাশে আছি ,0
পারিনি হাজার চেষ্টায় আটকিয়ে রাখতে ,0
রাজ কে পাওয়ার জন্য হোগা গরম হইয়া গিয়াছে।,1
অসাধারণ একটা ভিডিও,0
গরু একাই যথেষ্ট,0
সত্যি অসাধারণ! ৫০০ টাকা দিয়ে ৭০০০ টাকা পেয়েছি।,0
তোর মতো মাদারচোদ কয়জন রে,1
পতিতার সাথে কথা না বলাই ভালো,1
এসব কিছু কুলাঙ্গার মেয়ের কারণে ছাত্ররা অপমানিত হবে।,1
এই মেয়েটা অনেক বড় বেয়াদব এর ফুল ফ্যামিলি বেয়াদব এর মা-বাবা সবাই বেয়াদব,1
"তুমি শুরু, তোমাতেই শেষ। তুমি হারালে আমার গল্প এখানেই শেষ!",0
তোমার বাড়ির কোন শিক্ষা নেই তাই তুমি এটা করতে পারছো,0
আপনাদের মন মানসিকতা অনেক খারাফ ও এখন ও ছোট কিছু বুজে না ভিউ পাওয়া জন্য আর কি করবা,0
আসলে খুব একটি দুঃখজনক বিষয় বাচ্চাটার জন্য দোয়া রইল আল্লাহ যেন উনাকে সুস্থ করেন এই দোয়াই করি,0
অসভ্যের মতন মানুষের চেহারা নিয়ে ঢং করাটা ঠিক না।,1
আসলে আপনাদের না থাপড়ানোটা পাপ৷,1
চুচু করে দিব,0
বেহাইয়া স্বামী ছিনতাইকারীদের লজ্জা শরম থাকে না পরের স্বামী কেড়ে নেয়,1
শালীর চেহারা দেখেন হেরইন খায় মনে হয়,1
ছিঃ মানুষ কতটা ছোটো না হলে এখন ও আমকে লিংক দিতে দেরি করে,1
ন্যাকামি ছাড়া আর কিছুই লাগে না,0
তানিশা নাম টা শুনলে আমার মুখে একটা কথাই আসে সেটা হলো নির্লজ্জ মাইয়া,1
"মিরাজ সবকিছু দেখছে, এবং ইউজ করছে। আমাদেরকে কি দরকার",0
খুব সুন্দর আচারি বেগুন রান্নার রেসিপি ,0
বুদারপুলা সাকিব।,1
একটা পতিতা দূর হলো,1
জন্মের দোষ,1
সেই অপেক্ষায় আছি।,0
ভিসা দিলে চিন্তা গরা যায়!,0
আপনি অন্যায়ের বিরুদ্ধে প্রতিবাদ করতে ভয় পাচ্ছেন,0
নতুন একটা তিশা আপুকে দেখলাম ,0
যত্ন নিলে সব সম্পর্ক থেকে যায় হোক সেটা বন্ধু কিংবা ভালোবাসা ,0
অপূর্ব অসাধারণ সুমিষ্ট সুমধুর কন্ঠস্বর। সকলের প্রসংশার দাবি রাখে। অসাধারণ গায়কী শৈলী শিল্পী ভালো থেকো নিজের শরীরের খেয়াল রেখো ভালো থেকো। ,0
তানিশার মতন নোংরা মেয়ে পৃথিবীতে নাই,1
সালাদ অনেক ভালো লাগে ,0
লুভী রাক্ষসি তানিশি ,1
জায়গার তা জায়গায় না ঢোকলে একটু তো গলা ব‍্যাথা হবেই।,1
খুব ভালো লেগেছে ডিজাইন টা,0
"হ্যাঁ তোমাকে সাহায্য করে যেন, আবার দ্বিতীয় বার পরকীয়ায় জড়িত হতে পারো।",0
মনে শান্তি পাইলাম,0
চোরের পুলা ধর্ম ব্যাবসায়ী,1
এইটা হচ্ছে বড় চোর।,1
মজার খাবার আর মুখে পরছে না পা চাটার দল। এখন মেধাবী দোষ খুজ,1
এটা অমানবিক কাজ এটা মোটেও ভালো না,0
তোর দেশের মাইরে চুদি,1
"চারিদিকে শুধু দুষ্টু কোকিল ডাকছে, এবার ঠিক আছে কুওা ডাকছে ঘেউ ঘেউ ঘেউ।",0
এখনকার মেয়েরা সুদু ছেলেদের দেহ চায়,0
তুই এক রাত চোদা দুয়ার জন্য কত টাকা নিবি আমাকে বল বুঝলি,1
তুমি তো অপুর বোন শাঁকচুন্নি আফা।,1
দালাল মাদারি,1
মূহুর্তের মধ্যে চোখের সামনে সব ভেসে উঠলো!,0
"মাদারচোদ, তুরে বেডা গুয়া মারছে",1
এই পাগল পাবনা থেকে ছাড়া পাইলো কবে,0
বাস্তব সত্যি কথা ,0
হাওনের ভাতিজা,0
এদের শান্তির জায়গা লিভ টুগেদার,0
তানুর মেকআপ ওভাবে কেন? জান্নাত কে কিউট লাগে,0
একবার করার মতো মুড চলে আসলে আর মনো কিছু মনে হবে না প্রথমে চুষতে হবে পরে লাগানো উফস,1
"এদের সবকয়টাকে ধোরে জনসম্মুখে অতি কস্ট দিয়ে মারা হোক,",1
সালা হিজরার বাচ্চা,1
ফালতু একটা পোলা লজ্জা শরম একেবারে নেই,1
এর কপালে বোকাচোদা লেখা নাই তো এর কপালে মানুষের চোদা লেখা আছে,1
ছাত্রলীগ জারজসন্তান,1
ডাইনিরে দেখলেই আমার ভয় লাগে ,1
দিদিভাই তোমার কন্ঠ খুব সুন্দর,0
"বুইড়া পাডা, কুত্তার বাচ্চা তুই, তোরা!",1
বান্দবীকে বুদার ভিতোরে ডুকাইয়া রাখ,1
অসম্ভব সুন্দর নাটক,0
"প্রতিটা ছেলে স্বপ্ন, তার মাকে এইভাবে সারপ্রাইজ দেওয়ার!",0
এর মুখের ভাষা এ রকৃ কেনো। এ কি পাড়ার মহিলা নাকি,1
পল্টি বাজ,1
একি মর্মান্তিক ঘটনা ,0
"হ, তোর সাউয়া সেলাই কইরা দিয়া সমান বিচার করা হইবো, থেতলিয়ে দেওয়া উচিত,",1
তোগো পোন্দাপোন্দি অনলাইনে কে,1
ঠিক বলেছেন আমারও মনে হয় এসব নোংরামি ছাড়া আর কিছু না।,1
এই হারামজাদা তোর কি বানডা চুদা,1
মেয়েটার বারির লোক ছিলো লোভি টাকার তাই এরকম করলো ছেলেটার সাথে,0
খুব সুন্দর ভিডিও মায়ের আদর পৃথিবীর সেরা আদর নির্ভেজাল।,0
জাতি কে বলি আপু কে একটা নোবেল পুরষ্কার দিয়া হোক ,0
ধন্যবাদ টাঙ্গাইলের হেফাজতে ইসলাম এবং মুসল্লী ভাইদেরকে।,0
ইন্ডিয়ান পাগলা বলে কথা।,1
চামচামী বাদ দিয়ে বাস্তবতা বলুন।,1
আমি লজ্জিত বাংলাদেশী ,0
কচি বেডা মানুষের সাথে প্রেম বুড়ি মেয়ের ,1
দুইটাই বোকা চোদা,1
"কাজ কাজই, কোন কাজই ছোট নয়",0
দেখতে মানুষের মতো.,0
ভালোবাসা মানে সুখ দুঃখেপাশে থাকা! ,0
গানের মানসম্মান নাই ভাই ,0
অনেক সুন্দর সুন্দর কথা বলেছেন আপু ভালোবাসা অবিরাম সবসময়।,0
খানকির পোলায় এতদিন কই ছিলো,1
যেদিন তুমি ব্লক দিয়েছিলে মোবাইল হাতে নিয়ে অসম্ভব কান্না করেছিলাম জানি না কেন। তুমি কখনো আমাকে ভালোবাসি বলো নাই তার পরেও তোমার মায়ায় জড়িয়ে গিয়েছিলাম। এতো ভালোবাসার পরেও তোমার থেকে ব্লক উপহার পেলাম তারপরে তা মেনে নিলাম কারণ ভালো তো আমি বেসেছিলাম তুমি বাসো নাই। আবার দেখা হলে জিজ্ঞেস করবো কেন ভালোবাসলে না আমায় কেমন করে ভালোবাসলে তুমি ভালোবাসতে আমায়?,0
আর কত ভন্ডামি,1
এরকম অসভ্য বেয়াদব মহিলা সমাজের শত্রু জাতির শত্রু এদের থেকে ভালো কিছু আশা করা যায় না,1
সোনা দিয়া বান্দায় রাখো এই কথা!,0
"তুমাদের মত মেয়েদের জন্য ত পরকিয়া হই,রাস্তায় রাস্তায় বেপর্দা ভাবে চলাফেরা কর,",0
"এই বুড়ি কে আবার কে প্রেগন্যান্ট করলো, সাহ আলম নাকি জাহিদ ",0
এতো বড় লেজ কি করে এই পাছার মধ্যে লুকালো?,0
মাংগের নাতি ,1
"পূর্নতা মানুষকে হাসতে শেখায়, আর শূন্যতা মানুষকে অঝড়ে কাদায়!",0
এগুলা কুকুরের জন্ম টোকাই গুশটি,1
এখন আর নুনু দাঁড়াই না ভয়ে ভয়ে খালি ঘুমাই ,1
এই সব জর্ম্ম হিন নির্লজ্জ বেহায়া ছেলে মেয়ে আসে কোথায় থেকে ছি,1
এর সাথে সেপুদা কাকুর সাথে বিয়ে হলে ভালো হতো,0
এগুলো তো কুলাঙ্গার সন্তান ছি,1
মেধাবীরা লুটপাট করে না তারা কোঠায় পাওনা বুঝিয়া পাইলো।,0
আজ আমার নুনু খাও ,1
ভীষন অসভ্য লোক বাস করে এই সমাজে।,1
পৃথিবীর সকল মা বাবা সুস্থ্ থাকুক ভালো থাকুক আজীবন আমার জীবনের সব সুখ সব আয়ু তাদের হোক ,0
ভাই আপনার ভিডিও গুলো খুবই সুন্দর।,0
কুকুরের সাথে তুলনা করে কুকুরের সম্মান নষ্ট করবেন না দয়া করে। ওরা পৃথিবীর বুকে সৃষ্টি হওয়া সবচেয়ে নিকৃষ্ট জীব ,1
অপু। একটা বেয়াদব মহিলা ,1
ওরা শারীরিক চাহিদা মেটাবে কি করে ,1
চেয়েছিলাম অধিকার। হয়ে গেলাম রাজাকার।,0
যখন টেনিস বল ছিল তখন রাজাকারকে বিয়ে করল এখন বাশকেট বল হয়ে গেছে এখন সামি কেন বিয়ে করবে ,1
এমন শাড়ি পরার কি দরকার উলঙ্গ হয়ে থাকতে পারতেন।,1
ফেসবুকটা শেষ করে ফেলছে,0
নাটকটা দেখার পর নতুন করে প্রেমে পড়তে ইচ্ছা করে,0
ছাত্র লিগ তো না বানচোদরা মাদারচোদরে দে শেষ কইরা,1
একটা নষ্ট মেয়ে একে একটা সারের দরকার।,1
মাদারীপুর নিয়ে স্বপ্ন হলো নিজের জেলায় কম দামে প্রশ্ন বেঁচবে। চোর বাটপার।,1
"ব্যবহার, বাবা মায়ের শিক্ষা ",1
কপালে যেটুকু সুখ লিখা ছিল তাও এই গরমে ঘাম মুছতে মুছতে উঠে গেছে! ,0
যাইহোক দুইজনের কন্ঠ কিন্তু  ভালো লাগছে,0
সেলুন দোলোদিয়া পল্লী কেহ যাইবে না বাল কাটিতে,1
সুদানির ঘরে সোদানির পুলাদেরই জন্ম হয়,1
সব বালেন গানেই একি টাইপের মিউজিক কোনও নতুনত্ব নেই,1
আমার সাথেও এমন হয় ,0
বালচোদারা মনে হচ্ছে ডাল না বিরিয়ানী।,1
তোরে জন্ম দিছে কোন বাবা মা।,0
বিয়াদব,1
তোদের এতো চুলকানি কেন।,0
বার বছর ধরে আমার বাল এক‌ই আছে,0
আচ্ছা এর কি কোন আত্মীয়-স্বজন নেই!,0
এসব ফালতু পোস্ট করে নিজে কে বড় মনে করবেন না যতসব ,1
খাটের কথা ভেবে মেঝেতে করার নামই গরিব ,1
পুরুষ কখনও এক নারীতে আসক্ত হয় না।,0
এখন আসচস উনারে রোস্ট করতে ছি ছি ,1
একদম পারফেক্ট ,0
বাংলাদেশের অভ্যন্তরীণ বিষয় নিয়ে ভারতের মাতব্বরি করার অধিকার নেই,0
ফেসবুকে একটা পাইছস বাপ দাদার কানকি মাগী আর খানকির পোলা যত কিছু আছে উল্টাপাল্টা ভিডিও চোদাও ,1
আহ ভোদার কত দাম,1
পরিচালক এর বিছানায় যা,0
এতো দুষ্টু কেন পোলাপান,0
চোরের দেশ বাংলাদেশ,1
এতো অপমান হওয়ার পরও ক্যামেরার সামনে এসে মিথ্যা কথা বলতে লজ্জা করে না,0
"খানকি,",1
বিয়ে ছারা পেলে বিয়ে করে লাভ কি।,0
তুমি মনে রেখে বাল ফালাইবি,1
ভুদাই কোথাকার,1
সব সময় আপনার পাশে আছি,0
"লজ্জা শরম না থাকলে এমন কিছু ফেসবুকে পোস্ট করা যায়,",0
মাথাডা নষ্ট ,0
বাংলাদেশে আট মিরিয়ন পাগলা আছে ,1
আল্লাহ্ আপনি রহম করুন আমিন ,0
ইন্ডিয়া তো বাপ ছাড়া জন্ম নেয়া একটি দেশ৷ মানে বুঝলেন? ,1
বিশাল মানুষের মাঝে ভাইরাল হতে ই এসেছো,0
মনের থাপ্পড়ই বড় থাপ্পড় ,0
কতবার দেখতাম তখন এখন আর দেখি না কারণ মা আর নাই,0
আমার বিবাহিতা দিদি পুরো লেঙ্গটা হয়ে আমার ধনের উপর চড়ে বসে দু পা ফাঁক করে,1
সত্যি সফলতা এমনি এমনি আসে না তার জন্য প্ররিশ্রম করতে হয়,0
যে মেয়ের মান ইজ্জত নেই সে মেয়ে এমনই তো করবে তাতে অবাক হওয়ার কিছুই নেই,0
প্রশ্ন বেইচ্চা দেশটা খামু গিল্লা।,0
"বাংলাদেশের অধিকাংশ সাংবাদিক কুত্তারর বাচ্ছা, এদের নিয়েএ সংবাদ করা লাগের এদের,",1
"এই যে ছাত্রলীগ, তুমি জাগ্রত জানোয়ার! পুরো বিশ্বের ভাইরাস তুমি বাংলার কুলাঙ্গার ",1
অফিসের পাশে রেললাইন আছে সমস্যা নাই ,0
ভাগ্যিস আমার নাম নাই,0
জাতীয় দালাল স্বৈরাচার সরকারের পা চাটা গোলাম,1
এতগুলো মানুষ জীবন দিয়েছে এটা খুবই দুঃখ জনক কথা,0
চমৎকার বিনোদন ,0
নষ্টামি,1
ছাত্রলীগ বরাবরই একটা কুত্তার বাচ্চা ,1
ভাইয়ার অভিনয়টা খুবই ভালো লাগে। রিএকশনগুলো দেখেই অনেক হাসি পায়। অনেক অনেক দোয়া ও শুভকামনা রইল আপনাদের জন্য। ,0
তোদের মতো বোকাচোদা সাংবাদিক থাকলে জাতীয় দলের অবস্থা খারাপই হবে,1
এই চাটুকারদের এভাবেই জুতা নিহ্মেপ করা হবে।,1
"চোরের বাচ্চা, তুই ও চোর।",1
টিকটক প্রতিবন্ধি।,1
টুপি খুল খানকিরপুত,1
সাবান তাই সপ্তাহে একবার ব্যাবহার করি না ,0
মেন্টাল সাংবাদিক,1
অনেক অনেক শুভকামনা কিংবদন্তি আমার প্রিয় শিল্পীর জন্য।,0
ফিলটার ছাড়া ছবি দেক তখন বুঝবো লাল পরি না নীল পরি,0
কাতার থেকে  ভাতার,0
বুকে তিল আছে ওই আমার ,0
"আমার প্রিয় গায়কদের অন্যতম একজন। অনেক অনেক অনেক শুভেচ্ছা, শুভ কামনা, অভিনন্দন ও ভালোবাসা রইলো",0
বেশ্যার ছোল দুইডা,1
আমার ধোন কুত্তালিগ তোমাদের জন্য ,1
কি কম্পানীর গাঁজা সেবন করো তোমরা  ,0
"এবার তাহলে ঠিক আছে, কারণ বাপকা বেটা হবে না হবে কি বিলাই ",0
চেয়ারম্যানের কথা শুনে ওবায়দুল কাদেরের কথা মনে পড়ে গেল,0
মনে হয় শাকিব খান ৩ নাম্বার বাচ্চা নিয়ে আসতেছে!,0
"বিডিও টা ছেলে বানাইছে মেয়ে না, আর মেয়ে দের অসম্মান করা উচিৎ না",0
"মানুষ বদলে যায়, বুকের ভেতর রেখে যায় অবিশ্বাসের ক্ষত!",0
কিছু পোলা এমন লুচ্চামি করে  ,1
বেইমান,1
আশিফ নজরুল তো মেয়ে ধরা আর পরকীয়ার প্রবক্তক।,1
এরা মানুষের  দূরনাম দেওয়ার বাপের পেটা ,1
এই ভিডিও আমার অনেক ভালো লাগে অনেক বার দেখছি,0
মহিলা টা কী যে মিথ্যা বলে। ওনারে ডিম থেরাপি দেওয়া হউক,1
মুতে দেওয়া ভালো বাসা আহা,1
"বুবলি কে গোলাপ বলছে, যেটা সবারই প্রিয়",0
তোমাকে কয়বার করে লাগায় দিনে রাতে,1
লিপস্টিক দিয়ে অভিনয় মারাইতেছে ,1
এসব মহিলা সাপের চেয়েভয়ংকর,1
"আল্লাহ এই গুলো দেখার আগে, আমার মরন দাও",0
পুরো শাড়িটা খুলে ফেলে দে লুচ্চি,1
কি সাওয়ার ঝগড়া ,1
তোর দোয়া করলো কেডা মাঘি বোরিং লাগবে কেন দেখ আশেপাশে কোনো বান্ধবীর জামাই আছে কিনা ,1
প্রশ্নপাঁশকারী ও চোরের দল,1
কতো বড় জানোয়ার নুন্যতম লজ্জা সরম নাই এদের,1
পুরো মাদারচোদ নতুন শিখতে হইবো না রে,1
এই মেয়ে তলে উপরে মেধাবী এবং হিরোইন্সি।,1
প্লাবন ছিলো শিপং করে দেয়ার বয়ফ্রেন্ড. নাজিম হলো শপিং করে দেয়ার জামাই,0
"এখনো সময় আছে, সংসদ থেকে পদত্যাগ করে জাতির কাছে ক্ষমা চেয়ে নে।",0
বদমায়েশের ছেলে চালাবে দেশ,1
এ খুশিতে হাতুড়ি সিংহের পিছন দিয়ে ছাদখোলা বাস দিয়ে সারাদেশে ঘোরানো উচিত,1
সঠিক সিদ্ধান্ত। অভিনন্দন ঢাকা বিশ্ববিদ্যালয় প্রশাসন কে।,0
এইডা একটা শুয়োরের বাচ্চা এই আসিফ নজরুল মনে হয় বাবা ছাড়া জারজ সন্তান,1
আগেই জানতাম শরীল ব্যবসাই আর যাই হোক সৎ মানুষ হতে পারে নাহ!,1
মিয়া ভাই ছিলেন জিনিয়াস চুদিরভ্যাই!,1
কথা হয়না এখন আর তার সাথে! কিন্তু তার কথা মনে পরলে বুকটা কেঁপে ওঠে! ,0
পোনদি পল এরা ,1
গরুর গু মুত খেয়ে গুজব ছড়ানোর নাম ভারত।,1
ছি তোর কি লজ্জা শরম নাই রে ভাই,1
হ্লায় তো একটা খাদক।,1
আপনাকে অসম্ভব ভাবে মিস করি,0
ঘরে ঘরে পতনের ভয়ে হোটেলে আসলো তবুও হোটেলেও বিবস্ত্র  আই হায় কামডা করলো কে!,1
"কেউই থাকে না, বেলা শেষে মানুষ বড্ড একা",0
আমাদের দেশের সাংবাদিক দের আর কোন কাজ নাই ফালতু। থু থু মারি,1
দেশের টাকা লুট করে বিদেশে ফুর্তি করা সাকিব খান।,0
এলা আইসা আমার বাল গুলা ফালায়া যাও।,1
৪ নাম্বার লাইন টা,0
"এটা হলো বিশ্ব খারাপ, এরার জন্য সমাজ নষ্ট",1
তোমার গলার এই গানটা আমি আমার ফোনের রিং টোন করলাম.,0
বেশ হয়েছে,0
আমি ২০১০ সালে কুত্তা পালতাম যা এখন পোস্ট দাতার সমান।,1
লুচ্চা নাজিম্মার নেক্সট টার্গেট,1
হাহা হাহা হাহা আপু অনেক উপকার করলেন ধন্যবাদ ,0
"ভাই, ৫০০ টাকা দিয়ে ৩০০০ টাকা হাতে পেলাম। এমন সার্ভিস আগে দেখিনি।",0
নামটা খেয়ে দিলো রে হালায়,1
দূর সালা চাগল,1
লেজেন্ট রা তোর মার ভোঁদার মধ্যে ,1
বাথরুমে ধরলে সমস্যা নাই আটকে রাখতে পারবে,0
শালা জারোজ সন্তান,1
আর কোনো প্রশ্ন পাইলো না শালি কেমন ডা লাগে ,0
প্রায় সময় এমন একা অনুভব করি!,0
আপু তুমি জিনিস একটা ,0
আমার হোগামার শেষ,1
তদের লজ্জা সরম বলতে কিছু নেই নির লজ্জয় বেহায়া,1
কত মানুষ করোনায় মারা গেল। তোরা কোথায় ছিলি,0
বাল লিজেন্ড হয়ে বিপদে আছি,1
এর কাজই হলো মেয়াদোত্তীর্ণ শরীর দেখিয়ে বেড়ানো,1
শালার পো একটা ,1
আর এর উপর বোকাচোদা মাগী খানকিমাগী,1
"আলহামদুলিল্লাহ, আমার ঘর আলো করার মতো এবং মন ভালো করার মতো এক ""পরী"" আছে।",0
এই বেডা সব রোগের ডাক্তার,0
সেম কিছুই টের পাই নাই আমিও ,0
এরা নাকি আবার জাতির নেতৃত্ব দিবে ছি ছি।,1
মিমি ঠিক করছে কাজটা,0
খুব সুন্দর বিনোদনমূলক একটি ভিডিও ভিডিওটা খুবই ভালো লেগেছে অসাধারণ সুন্দর হয়েছে,0
দারুন তো ,0
কেউ কিছু বললে লীগের ট্যাগ কিংবা দালাল।,1
ও সাথী একবার এসে দেখে যাও আমি কত সুখে আছি,0
অনেক সুন্দর সবার প্রতি ভালোবাসা রইলো সব সময় ,0
এখানে একটি গোষ্ঠী কমেন্ট থেকে বিরত কেন?,0
কতো টা খারাপ হলে একটা মেয়ে তার অঙ্গ এভাবে বের করতে পারে চিহ ,1
একটা সুন্দরী মেয়ে বন্ধু চাই ,0
ওদের কে আসলে মাফ করা উচিত না,0
আমার ধোন দারায় না ওরে দেইহা,1
"সাংবাদিকের বউকে, একা পেয়ে, সাধারন জনগণ ভরে দিলো,",1
"মুখে মুখে বললে হবে না। চামড়া উঠানোটা, আমাদের দেখানো উচিত ছিল।",0
অভিনয় এটা,1
মাদারবোর্ড এমপি কু ত্তা সাকিব তোরে খেলোয়াড় হিসাবেও পছন্দ করতাম না,1
তুমরা তো মেয়ে নামের খানকি মাগি তরা না দেখলে কে দেখবে ,1
তুই তাকজেন আর শাকচুরি রে তোর বালাই লাগবো,0
এই পৃথিবীতে এখন আর কেউ কাউকে ভালোবেসে না শুধু প্রয়োজনে ব্যবহার করে ,0
যত কিছু বলেন না কেন তাদের কোন লজ্জা শরম নেই।,1
"ভাইয়ের বাড়ি আমার বাড়ি কিন্তু কাছাকাছি, বোদাতে। তুমি চাইলে আমার বাসায় এসে কিন্তু থাকতে পার",1
এই মেয়েকে পুলিশ এর আওতায় আনা হোক,0
আওয়ামী লীগের সাপোর্ট নিয়ে অনেক কুকামের কদু মাসি। সকল এমপি দের রাতের রানী।,0
"কিছু বক্সচদ মিথ্যা মামলাকে সমর্থন করে, এরা নাকি নীতিবান।",0
যাই বলেন চোখে মুখে পরাজয়ের ছাপ দেখা যাইতেছে,0
দেখলেই মনে হয় যেন গাঞ্জাখোর,0
শুভকামনা রইল আমার প্রিয় জন্ম স্থান মঠবাড়ীয়াবাসী।,0
"আরে কাউয়া রে. তোগো সন্ত্রাস এইডা, তোগা কুত্তা লীগ",1
শত চেষ্টা করার পরেও তাকে আমি ধরে রাখতে পারিনি ,0
যাকে আমি ভালোবাসি,0
তোরা এইসব কমেন্ট করে নিজেকে খানকি প্রমাণ কর ,1
ওর কি হাগায় ধরছে ভাই,0
ওরে ভাই আপনাদের ভিডিও অনেক সুন্দর ভালোবাসা অবিরাম,0
